,index,M_Call_Name,M_Call_Arg,Receiver_var,File_Name_x,MethodName,M_Call_Arg_len,Swap_arg_listing,MethodClass,M_D_Name,M_D_Arg,File_Name_y,Class_name,M_D_Arg_len,File_Name_without_extension
0,0,adapts,"IRequest ; <class 'str'>, ISettings ; <class 'str'>",,D:\Testing\00\wikihouse\asset.py,adapts,2, ISettings ; <class 'str'> IRequest ; <class 'str'>,,,,,,,
5,5,"yaml,add_representer","MyOrderedDict ; <class 'str'>, ",,D:\Testing\0k\shyaml\shyaml.py,add_representer,2,MyOrderedDict ; <class 'str'>,yaml,,,,,,
6,6,"yaml,add_constructor","<ast.Attribute object at 0x000001703F151760> ; <class 'ast.Attribute'>, ",,D:\Testing\0k\shyaml\shyaml.py,add_constructor,2,<ast.Attribute object at 0x000001703F151760> ; <class 'ast.Attribute'>,yaml,,,,,,
7,7,Fingerprint,"Dart ; <class 'str'>, Dart Image 1.1.21 https://pub.dartlang.org/packages/image ; <class 'str'>, ",dart,D:\Testing\0xcite\fingerping\fingerprints.py,Fingerprint,3, Dart Image 1.1.21 https://pub.dartlang.org/packages/image ; <class 'str'> Dart ; <class 'str'>,,,,,,,
8,8,Fingerprint,".Net 4.5 ; <class 'str'>, .Net 4.5 ; <class 'str'>, ",dotnet,D:\Testing\0xcite\fingerping\fingerprints.py,Fingerprint,3, .Net 4.5 ; <class 'str'> .Net 4.5 ; <class 'str'>,,,,,,,
9,9,Fingerprint,"Erlang erl_img ; <class 'str'>, Erlang erl_img evanmiller fork https://github.com/evanmiller/erl_img ; <class 'str'>, ",erlang,D:\Testing\0xcite\fingerping\fingerprints.py,Fingerprint,3, Erlang erl_img evanmiller fork https://github.com/evanmiller/erl_img ; <class 'str'> Erlang erl_img ; <class 'str'>,,,,,,,
10,10,Fingerprint,"Go 1.0.2 ; <class 'str'>, go 1.0.2 ; <class 'str'>, ",golang,D:\Testing\0xcite\fingerping\fingerprints.py,Fingerprint,3, go 1.0.2 ; <class 'str'> Go 1.0.2 ; <class 'str'>,,,,,,,
11,11,Fingerprint,"Haskell JuicyPixels ; <class 'str'>, Haskell JuicyPixels 3.1.5.2 https://hackage.haskell.org/package/JuicyPixels ; <class 'str'>, ",haskelljuicy,D:\Testing\0xcite\fingerping\fingerprints.py,Fingerprint,3, Haskell JuicyPixels 3.1.5.2 https://hackage.haskell.org/package/JuicyPixels ; <class 'str'> Haskell JuicyPixels ; <class 'str'>,,,,,,,
12,12,Fingerprint,"ImageMagick ; <class 'str'>, ImageMagick 6.7.7-10 2013-09-10 Q16 ; <class 'str'>, ",imagemagick,D:\Testing\0xcite\fingerping\fingerprints.py,Fingerprint,3, ImageMagick 6.7.7-10 2013-09-10 Q16 ; <class 'str'> ImageMagick ; <class 'str'>,,,,,,,
13,13,Fingerprint,"OpenJDK 7 ; <class 'str'>, OpenJDK Runtime Environment (IcedTea 2.3.9) (7u21-2.3.9-1ubuntu1) ; <class 'str'>, ",java7,D:\Testing\0xcite\fingerping\fingerprints.py,Fingerprint,3, OpenJDK Runtime Environment (IcedTea 2.3.9) (7u21-2.3.9-1ubuntu1) ; <class 'str'> OpenJDK 7 ; <class 'str'>,,,,,,,
14,14,Fingerprint,"LodePNG ; <class 'str'>, LodePNG 20140609 ; <class 'str'>, ",lodepng,D:\Testing\0xcite\fingerping\fingerprints.py,Fingerprint,3, LodePNG 20140609 ; <class 'str'> LodePNG ; <class 'str'>,,,,,,,
15,15,Fingerprint,"Mono ; <class 'str'>, Mono JIT compiler version 2.10.8.1 (Debian 2.10.8.1-5ubuntu1) ; <class 'str'>, ",mono,D:\Testing\0xcite\fingerping\fingerprints.py,Fingerprint,3, Mono JIT compiler version 2.10.8.1 (Debian 2.10.8.1-5ubuntu1) ; <class 'str'> Mono ; <class 'str'>,,,,,,,
16,16,Fingerprint,"PHP5 ; <class 'str'>, PHP 5.4.9-4ubuntu2.4 (cli) (built: Dec 12 2013 04:29:20) ; <class 'str'>, ",php5,D:\Testing\0xcite\fingerping\fingerprints.py,Fingerprint,3, PHP 5.4.9-4ubuntu2.4 (cli) (built: Dec 12 2013 04:29:20) ; <class 'str'> PHP5 ; <class 'str'>,,,,,,,
17,17,Fingerprint,"Nodejs pngjs ; <class 'str'>, Nodejs pngjs 0.4.0 https://github.com/niegowski/node-pngjs/ ; <class 'str'>, ",pngjs,D:\Testing\0xcite\fingerping\fingerprints.py,Fingerprint,3, Nodejs pngjs 0.4.0 https://github.com/niegowski/node-pngjs/ ; <class 'str'> Nodejs pngjs ; <class 'str'>,,,,,,,
18,18,Fingerprint,"Python PIL ; <class 'str'>, Python PIL 1.1.17 ; <class 'str'>, ",pythonpil,D:\Testing\0xcite\fingerping\fingerprints.py,Fingerprint,3, Python PIL 1.1.17 ; <class 'str'> Python PIL ; <class 'str'>,,,,,,,
19,19,Fingerprint,"Python png.py ; <class 'str'>, Python png.py http://pypng.googlecode.com/svn/trunk/code/png.py ; <class 'str'>, ",pythonpng,D:\Testing\0xcite\fingerping\fingerprints.py,Fingerprint,3, Python png.py http://pypng.googlecode.com/svn/trunk/code/png.py ; <class 'str'> Python png.py ; <class 'str'>,,,,,,,
20,20,Fingerprint,"Ruby chunky_png ; <class 'str'>, Ruby chunky_png 1.3.1 https://rubygems.org/gems/chunky_png ; <class 'str'>, ",rubychunky,D:\Testing\0xcite\fingerping\fingerprints.py,Fingerprint,3, Ruby chunky_png 1.3.1 https://rubygems.org/gems/chunky_png ; <class 'str'> Ruby chunky_png ; <class 'str'>,,,,,,,
31,31,datetime,"1 ; <class 'int'>, 3 ; <class 'int'>, 8 ; <class 'int'>, 2 ; <class 'int'>",DSTSTART_2007,D:\Testing\2cloud\AppEngine\timestamp.py,datetime,4, 2 ; <class 'int'>  8 ; <class 'int'>  3 ; <class 'int'> 1 ; <class 'int'>,,,,,,,
32,32,datetime,"1 ; <class 'int'>, 11 ; <class 'int'>, 1 ; <class 'int'>, 1 ; <class 'int'>",DSTEND_2007,D:\Testing\2cloud\AppEngine\timestamp.py,datetime,4, 1 ; <class 'int'>  1 ; <class 'int'>  11 ; <class 'int'> 1 ; <class 'int'>,,,,,,,
33,33,datetime,"1 ; <class 'int'>, 4 ; <class 'int'>, 1 ; <class 'int'>, 2 ; <class 'int'>",DSTSTART_1987_2006,D:\Testing\2cloud\AppEngine\timestamp.py,datetime,4, 2 ; <class 'int'>  1 ; <class 'int'>  4 ; <class 'int'> 1 ; <class 'int'>,,,,,,,
34,34,datetime,"1 ; <class 'int'>, 10 ; <class 'int'>, 25 ; <class 'int'>, 1 ; <class 'int'>",DSTEND_1987_2006,D:\Testing\2cloud\AppEngine\timestamp.py,datetime,4, 1 ; <class 'int'>  25 ; <class 'int'>  10 ; <class 'int'> 1 ; <class 'int'>,,,,,,,
35,35,datetime,"1 ; <class 'int'>, 4 ; <class 'int'>, 24 ; <class 'int'>, 2 ; <class 'int'>",DSTSTART_1967_1986,D:\Testing\2cloud\AppEngine\timestamp.py,datetime,4, 2 ; <class 'int'>  24 ; <class 'int'>  4 ; <class 'int'> 1 ; <class 'int'>,,,,,,,
36,36,USTimeZone,", Pacific ; <class 'str'>, PST ; <class 'str'>, PDT ; <class 'str'>",Pacific,D:\Testing\2cloud\AppEngine\timestamp.py,USTimeZone,4, PDT ; <class 'str'>  PST ; <class 'str'>  Pacific ; <class 'str'> ,,,,,,,
37,37,"admin,site,register","Metric ; <class 'str'>, MetricAdmin ; <class 'str'>",,D:\Testing\2gis\badger-api\metrics\admin.py,register,2, MetricAdmin ; <class 'str'> Metric ; <class 'str'>,admin,register,'request',D:\Testing\2buntu\2buntu-blog\twobuntu\accounts\views.py,,1.0,views
38,38,"admin,site,register","MetricValue ; <class 'str'>, MetricValueAdmin ; <class 'str'>",,D:\Testing\2gis\badger-api\metrics\admin.py,register,2, MetricValueAdmin ; <class 'str'> MetricValue ; <class 'str'>,admin,register,'request',D:\Testing\2buntu\2buntu-blog\twobuntu\accounts\views.py,,1.0,views
39,39,patterns," ; <class 'str'>, , , , , , , , , , ",urlpatterns,D:\Testing\2gis\badger-api\pycd\urls.py,patterns,11, ; <class 'str'>,,,,,,,
40,40,"router,register","projects ; <class 'str'>, ProjectViewSet ; <class 'str'>",,D:\Testing\2gis\badger-api\pycd\urls.py,register,2, ProjectViewSet ; <class 'str'> projects ; <class 'str'>,router,register,'request',D:\Testing\2buntu\2buntu-blog\twobuntu\accounts\views.py,,1.0,views
41,41,"router,register","testplans ; <class 'str'>, TestPlanViewSet ; <class 'str'>",,D:\Testing\2gis\badger-api\pycd\urls.py,register,2, TestPlanViewSet ; <class 'str'> testplans ; <class 'str'>,router,register,'request',D:\Testing\2buntu\2buntu-blog\twobuntu\accounts\views.py,,1.0,views
42,42,"router,register","launches ; <class 'str'>, LaunchViewSet ; <class 'str'>",,D:\Testing\2gis\badger-api\pycd\urls.py,register,2, LaunchViewSet ; <class 'str'> launches ; <class 'str'>,router,register,'request',D:\Testing\2buntu\2buntu-blog\twobuntu\accounts\views.py,,1.0,views
43,43,"router,register","testresults ; <class 'str'>, TestResultViewSet ; <class 'str'>",,D:\Testing\2gis\badger-api\pycd\urls.py,register,2, TestResultViewSet ; <class 'str'> testresults ; <class 'str'>,router,register,'request',D:\Testing\2buntu\2buntu-blog\twobuntu\accounts\views.py,,1.0,views
44,44,"router,register","launch-items ; <class 'str'>, LaunchItemViewSet ; <class 'str'>",,D:\Testing\2gis\badger-api\pycd\urls.py,register,2, LaunchItemViewSet ; <class 'str'> launch-items ; <class 'str'>,router,register,'request',D:\Testing\2buntu\2buntu-blog\twobuntu\accounts\views.py,,1.0,views
45,45,"router,register","tasks ; <class 'str'>, TaskResultViewSet ; <class 'str'>",,D:\Testing\2gis\badger-api\pycd\urls.py,register,2, TaskResultViewSet ; <class 'str'> tasks ; <class 'str'>,router,register,'request',D:\Testing\2buntu\2buntu-blog\twobuntu\accounts\views.py,,1.0,views
46,46,"router,register","comments ; <class 'str'>, CommentViewSet ; <class 'str'>",,D:\Testing\2gis\badger-api\pycd\urls.py,register,2, CommentViewSet ; <class 'str'> comments ; <class 'str'>,router,register,'request',D:\Testing\2buntu\2buntu-blog\twobuntu\accounts\views.py,,1.0,views
47,47,"router,register","bugs ; <class 'str'>, BugViewSet ; <class 'str'>",,D:\Testing\2gis\badger-api\pycd\urls.py,register,2, BugViewSet ; <class 'str'> bugs ; <class 'str'>,router,register,'request',D:\Testing\2buntu\2buntu-blog\twobuntu\accounts\views.py,,1.0,views
48,48,"router,register","stages ; <class 'str'>, StageViewSet ; <class 'str'>",,D:\Testing\2gis\badger-api\pycd\urls.py,register,2, StageViewSet ; <class 'str'> stages ; <class 'str'>,router,register,'request',D:\Testing\2buntu\2buntu-blog\twobuntu\accounts\views.py,,1.0,views
49,49,"router,register","metrics ; <class 'str'>, MetricViewSet ; <class 'str'>",,D:\Testing\2gis\badger-api\pycd\urls.py,register,2, MetricViewSet ; <class 'str'> metrics ; <class 'str'>,router,register,'request',D:\Testing\2buntu\2buntu-blog\twobuntu\accounts\views.py,,1.0,views
50,50,"router,register","metricvalues ; <class 'str'>, MetricValueViewSet ; <class 'str'>",,D:\Testing\2gis\badger-api\pycd\urls.py,register,2, MetricValueViewSet ; <class 'str'> metricvalues ; <class 'str'>,router,register,'request',D:\Testing\2buntu\2buntu-blog\twobuntu\accounts\views.py,,1.0,views
51,51,"admin,site,register","Stage ; <class 'str'>, StageAdmin ; <class 'str'>",,D:\Testing\2gis\badger-api\stages\admin.py,register,2, StageAdmin ; <class 'str'> Stage ; <class 'str'>,admin,register,'request',D:\Testing\2buntu\2buntu-blog\twobuntu\accounts\views.py,,1.0,views
53,53,"admin,site,register","LaunchItem ; <class 'str'>, LaunchItemAdmin ; <class 'str'>",,D:\Testing\2gis\badger-api\testreport\admin.py,register,2, LaunchItemAdmin ; <class 'str'> LaunchItem ; <class 'str'>,admin,register,'request',D:\Testing\2buntu\2buntu-blog\twobuntu\accounts\views.py,,1.0,views
54,54,"admin,site,register","Project ; <class 'str'>, ProjectAdmin ; <class 'str'>",,D:\Testing\2gis\badger-api\testreport\admin.py,register,2, ProjectAdmin ; <class 'str'> Project ; <class 'str'>,admin,register,'request',D:\Testing\2buntu\2buntu-blog\twobuntu\accounts\views.py,,1.0,views
55,55,"admin,site,register","Settings ; <class 'str'>, ProjectAdmin ; <class 'str'>",,D:\Testing\2gis\badger-api\testreport\admin.py,register,2, ProjectAdmin ; <class 'str'> Settings ; <class 'str'>,admin,register,'request',D:\Testing\2buntu\2buntu-blog\twobuntu\accounts\views.py,,1.0,views
56,56,"admin,site,register","Launch ; <class 'str'>, LaunchAdmin ; <class 'str'>",,D:\Testing\2gis\badger-api\testreport\admin.py,register,2, LaunchAdmin ; <class 'str'> Launch ; <class 'str'>,admin,register,'request',D:\Testing\2buntu\2buntu-blog\twobuntu\accounts\views.py,,1.0,views
57,57,"admin,site,register","TestPlan ; <class 'str'>, TestPlanAdmin ; <class 'str'>",,D:\Testing\2gis\badger-api\testreport\admin.py,register,2, TestPlanAdmin ; <class 'str'> TestPlan ; <class 'str'>,admin,register,'request',D:\Testing\2buntu\2buntu-blog\twobuntu\accounts\views.py,,1.0,views
58,58,"admin,site,register","TestResult ; <class 'str'>, TestResultAdmin ; <class 'str'>",,D:\Testing\2gis\badger-api\testreport\admin.py,register,2, TestResultAdmin ; <class 'str'> TestResult ; <class 'str'>,admin,register,'request',D:\Testing\2buntu\2buntu-blog\twobuntu\accounts\views.py,,1.0,views
59,59,"admin,site,register","Bug ; <class 'str'>, BugAdmin ; <class 'str'>",,D:\Testing\2gis\badger-api\testreport\admin.py,register,2, BugAdmin ; <class 'str'> Bug ; <class 'str'>,admin,register,'request',D:\Testing\2buntu\2buntu-blog\twobuntu\accounts\views.py,,1.0,views
60,60,"admin,site,register","UserParameter ; <class 'str'>, UserParameterAdmin ; <class 'str'>",,D:\Testing\3bot\3bot\threebot\admin.py,register,2, UserParameterAdmin ; <class 'str'> UserParameter ; <class 'str'>,admin,register,'request',D:\Testing\2buntu\2buntu-blog\twobuntu\accounts\views.py,,1.0,views
61,61,"admin,site,register","OrganizationParameter ; <class 'str'>, OrganizationParameterAdmin ; <class 'str'>",,D:\Testing\3bot\3bot\threebot\admin.py,register,2, OrganizationParameterAdmin ; <class 'str'> OrganizationParameter ; <class 'str'>,admin,register,'request',D:\Testing\2buntu\2buntu-blog\twobuntu\accounts\views.py,,1.0,views
62,62,"admin,site,register","ParameterList ; <class 'str'>, ParameterListAdmin ; <class 'str'>",,D:\Testing\3bot\3bot\threebot\admin.py,register,2, ParameterListAdmin ; <class 'str'> ParameterList ; <class 'str'>,admin,register,'request',D:\Testing\2buntu\2buntu-blog\twobuntu\accounts\views.py,,1.0,views
63,63,"admin,site,register","Task ; <class 'str'>, TaskAdmin ; <class 'str'>",,D:\Testing\3bot\3bot\threebot\admin.py,register,2, TaskAdmin ; <class 'str'> Task ; <class 'str'>,admin,register,'request',D:\Testing\2buntu\2buntu-blog\twobuntu\accounts\views.py,,1.0,views
64,64,"admin,site,register","Worker ; <class 'str'>, WorkerAdmin ; <class 'str'>",,D:\Testing\3bot\3bot\threebot\admin.py,register,2, WorkerAdmin ; <class 'str'> Worker ; <class 'str'>,admin,register,'request',D:\Testing\2buntu\2buntu-blog\twobuntu\accounts\views.py,,1.0,views
65,65,"admin,site,register","Workflow ; <class 'str'>, WorkflowAdmin ; <class 'str'>",,D:\Testing\3bot\3bot\threebot\admin.py,register,2, WorkflowAdmin ; <class 'str'> Workflow ; <class 'str'>,admin,register,'request',D:\Testing\2buntu\2buntu-blog\twobuntu\accounts\views.py,,1.0,views
66,66,"admin,site,register","WorkflowTask ; <class 'str'>, WorkflowTaskAdmin ; <class 'str'>",,D:\Testing\3bot\3bot\threebot\admin.py,register,2, WorkflowTaskAdmin ; <class 'str'> WorkflowTask ; <class 'str'>,admin,register,'request',D:\Testing\2buntu\2buntu-blog\twobuntu\accounts\views.py,,1.0,views
67,67,"admin,site,register","WorkflowLog ; <class 'str'>, WorkflowLogAdmin ; <class 'str'>",,D:\Testing\3bot\3bot\threebot\admin.py,register,2, WorkflowLogAdmin ; <class 'str'> WorkflowLog ; <class 'str'>,admin,register,'request',D:\Testing\2buntu\2buntu-blog\twobuntu\accounts\views.py,,1.0,views
68,68,"admin,site,register","WorkflowPreset ; <class 'str'>, WorkflowPresetAdmin ; <class 'str'>",,D:\Testing\3bot\3bot\threebot\admin.py,register,2, WorkflowPresetAdmin ; <class 'str'> WorkflowPreset ; <class 'str'>,admin,register,'request',D:\Testing\2buntu\2buntu-blog\twobuntu\accounts\views.py,,1.0,views
69,69,"sqlite3,register_converter","timestamp ; <class 'str'>, convert_timestamp ; <class 'str'>",,D:\Testing\55minutes\python-epo-ops-client\epo_ops\middlewares\throttle\storages\sqlite.py,register_converter,2, convert_timestamp ; <class 'str'> timestamp ; <class 'str'>,sqlite3,,,,,,
71,71,socket,"AF_INET ; <class 'str'>, SOCK_STREAM ; <class 'str'>",client,D:\Testing\9miao\Firefly\firefly\test\test_netconnect_client.py,socket,2, SOCK_STREAM ; <class 'str'> AF_INET ; <class 'str'>,,,,,,,
79,79,socket,"AF_INET ; <class 'str'>, SOCK_STREAM ; <class 'str'>",client,D:\Testing\9miao\Firefly\gfirefly\test\test_netconnect_client.py,socket,2, SOCK_STREAM ; <class 'str'> AF_INET ; <class 'str'>,,,,,,,
87,87,"parser,add_argument","-p ; <class 'str'>, --project ; <class 'str'>",,D:\Testing\Aaronontheweb\scaffold-py\scaffold\__main__.py,add_argument,2, --project ; <class 'str'> -p ; <class 'str'>,parser,,,,,,
88,88,"parser,add_argument","-d ; <class 'str'>, --dir ; <class 'str'>",,D:\Testing\Aaronontheweb\scaffold-py\scaffold\__main__.py,add_argument,2, --dir ; <class 'str'> -d ; <class 'str'>,parser,,,,,,
89,89,patterns,"c10ktools.views ; <class 'str'>, , , ",urlpatterns,D:\Testing\aaugustin\django-c10k-demo\c10ktools\urls.py,patterns,4,c10ktools.views ; <class 'str'>,,,,,,,
90,90,patterns,"gameoflife.views ; <class 'str'>, , , , ",urlpatterns,D:\Testing\aaugustin\django-c10k-demo\gameoflife\urls.py,patterns,5,gameoflife.views ; <class 'str'>,,,,,,,
91,91,"os,putenv","COPYFILE_DISABLE ; <class 'str'>, true ; <class 'str'>",,D:\Testing\aaugustin\django-pymssql\setup.py,putenv,2, true ; <class 'str'> COPYFILE_DISABLE ; <class 'str'>,os,,,,,,
116,116,"admin,site,register","List_value ; List, LiveUserLogModelAdmin ; <class 'str'>",,D:\Testing\aaugustin\django-userlog\userlog\admin.py,register,2, LiveUserLogModelAdmin ; <class 'str'> List_value ; List,admin,register,'request',D:\Testing\2buntu\2buntu-blog\twobuntu\accounts\views.py,,1.0,views
117,117,"admin,site,register","List_value ; List, StaticUserLogModelAdmin ; <class 'str'>",,D:\Testing\aaugustin\django-userlog\userlog\admin.py,register,2, StaticUserLogModelAdmin ; <class 'str'> List_value ; List,admin,register,'request',D:\Testing\2buntu\2buntu-blog\twobuntu\accounts\views.py,,1.0,views
119,119,namedtuple,"UserLogSettings ; <class 'str'>, List_value ; List",UserLogSettings,D:\Testing\aaugustin\django-userlog\userlog\util.py,namedtuple,2, List_value ; List UserLogSettings ; <class 'str'>,,,,,,,
120,120,"os,putenv","COPYFILE_DISABLE ; <class 'str'>, true ; <class 'str'>",,D:\Testing\aaugustin\websockets\setup.py,putenv,2, true ; <class 'str'> COPYFILE_DISABLE ; <class 'str'>,os,,,,,,
172,172,"sys,path,insert","0 ; <class 'int'>, ",,D:\Testing\aboutyou\aboutyou-python-sdk\doc\conf.py,insert,2,0 ; <class 'int'>,sys,,,,,,
178,178,patterns," ; <class 'str'>, , , ",urlpatterns,D:\Testing\AcademicsToday\py-academicstoday\academicstoday_project\login\urls.py,patterns,4, ; <class 'str'>,,,,,,,
179,179,patterns," ; <class 'str'>, , , , , , , , , , ",urlpatterns,D:\Testing\AcademicsToday\py-academicstoday\academicstoday_project\publisher\urls.py,patterns,11, ; <class 'str'>,,,,,,,
206,206,patterns," ; <class 'str'>, , , , , , , , , , , , , , , , , , ",urlpatterns,D:\Testing\AcademicsToday\py-academicstoday\academicstoday_project\registrar\urls.py,patterns,19, ; <class 'str'>,,,,,,,
207,207,patterns," ; <class 'str'>, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ",urlpatterns,D:\Testing\AcademicsToday\py-academicstoday\academicstoday_project\teacher\urls.py,patterns,81, ; <class 'str'>,,,,,,,
208,208,"sys,path,insert","0 ; <class 'int'>, project_root ; <class 'str'>",,D:\Testing\acba\elm\docs\conf.py,insert,2, project_root ; <class 'str'> 0 ; <class 'int'>,sys,,,,,,
209,209,"logger,debug","> loading python file ""%s"" ; <class 'str'>, __name__ ; <class 'str'>",,D:\Testing\accerqueira\sublime-test-runner\test_runner\decorators.py,debug,2," __name__ ; <class 'str'> > loading python file ""%s"" ; <class 'str'>",logger,debug,'self',D:\Testing\0rpc\zerorpc-python\zerorpc\events.py,Events,1.0,events
210,210,"logger,debug","> loading python file ""%s"" ; <class 'str'>, __name__ ; <class 'str'>",,D:\Testing\accerqueira\sublime-test-runner\test_runner\decorators.py,debug,2," __name__ ; <class 'str'> > loading python file ""%s"" ; <class 'str'>",logger,debug,"'self', 'v'",D:\Testing\0rpc\zerorpc-python\zerorpc\events.py,Events,2.0,events
211,211,"logger,debug","< loading python file ""%s"" ; <class 'str'>, __name__ ; <class 'str'>",,D:\Testing\accerqueira\sublime-test-runner\test_runner\decorators.py,debug,2," __name__ ; <class 'str'> < loading python file ""%s"" ; <class 'str'>",logger,debug,'self',D:\Testing\0rpc\zerorpc-python\zerorpc\events.py,Events,1.0,events
212,212,"logger,debug","< loading python file ""%s"" ; <class 'str'>, __name__ ; <class 'str'>",,D:\Testing\accerqueira\sublime-test-runner\test_runner\decorators.py,debug,2," __name__ ; <class 'str'> < loading python file ""%s"" ; <class 'str'>",logger,debug,"'self', 'v'",D:\Testing\0rpc\zerorpc-python\zerorpc\events.py,Events,2.0,events
213,213,"logger,debug","> loading python file ""%s"" ; <class 'str'>, __name__ ; <class 'str'>",,D:\Testing\accerqueira\sublime-test-runner\test_runner\parsers.py,debug,2," __name__ ; <class 'str'> > loading python file ""%s"" ; <class 'str'>",logger,debug,'self',D:\Testing\0rpc\zerorpc-python\zerorpc\events.py,Events,1.0,events
214,214,"logger,debug","> loading python file ""%s"" ; <class 'str'>, __name__ ; <class 'str'>",,D:\Testing\accerqueira\sublime-test-runner\test_runner\parsers.py,debug,2," __name__ ; <class 'str'> > loading python file ""%s"" ; <class 'str'>",logger,debug,"'self', 'v'",D:\Testing\0rpc\zerorpc-python\zerorpc\events.py,Events,2.0,events
215,215,"logger,debug","< loading python file ""%s"" ; <class 'str'>, __name__ ; <class 'str'>",,D:\Testing\accerqueira\sublime-test-runner\test_runner\parsers.py,debug,2," __name__ ; <class 'str'> < loading python file ""%s"" ; <class 'str'>",logger,debug,'self',D:\Testing\0rpc\zerorpc-python\zerorpc\events.py,Events,1.0,events
216,216,"logger,debug","< loading python file ""%s"" ; <class 'str'>, __name__ ; <class 'str'>",,D:\Testing\accerqueira\sublime-test-runner\test_runner\parsers.py,debug,2," __name__ ; <class 'str'> < loading python file ""%s"" ; <class 'str'>",logger,debug,"'self', 'v'",D:\Testing\0rpc\zerorpc-python\zerorpc\events.py,Events,2.0,events
